reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-01-20,wk inc flu hosp,0,2024-01-20,11,quantile,0.01,26
2024-01-20,wk inc flu hosp,0,2024-01-20,11,quantile,0.025,28
2024-01-20,wk inc flu hosp,0,2024-01-20,11,quantile,0.05,30
2024-01-20,wk inc flu hosp,0,2024-01-20,11,quantile,0.1,33
2024-01-20,wk inc flu hosp,0,2024-01-20,11,quantile,0.15000000000000002,34
2024-01-20,wk inc flu hosp,0,2024-01-20,11,quantile,0.2,36
2024-01-20,wk inc flu hosp,0,2024-01-20,11,quantile,0.25,37
2024-01-20,wk inc flu hosp,0,2024-01-20,11,quantile,0.3,38
2024-01-20,wk inc flu hosp,0,2024-01-20,11,quantile,0.35000000000000003,40
2024-01-20,wk inc flu hosp,0,2024-01-20,11,quantile,0.4,41
2024-01-20,wk inc flu hosp,0,2024-01-20,11,quantile,0.45,42
2024-01-20,wk inc flu hosp,0,2024-01-20,11,quantile,0.5,43
2024-01-20,wk inc flu hosp,0,2024-01-20,11,quantile,0.55,44
2024-01-20,wk inc flu hosp,0,2024-01-20,11,quantile,0.6000000000000001,45
2024-01-20,wk inc flu hosp,0,2024-01-20,11,quantile,0.6500000000000001,47
2024-01-20,wk inc flu hosp,0,2024-01-20,11,quantile,0.7000000000000001,48
2024-01-20,wk inc flu hosp,0,2024-01-20,11,quantile,0.7500000000000001,49
2024-01-20,wk inc flu hosp,0,2024-01-20,11,quantile,0.8,51
2024-01-20,wk inc flu hosp,0,2024-01-20,11,quantile,0.8500000000000001,53
2024-01-20,wk inc flu hosp,0,2024-01-20,11,quantile,0.9000000000000001,56
2024-01-20,wk inc flu hosp,0,2024-01-20,11,quantile,0.9500000000000001,60
2024-01-20,wk inc flu hosp,0,2024-01-20,11,quantile,0.975,64
2024-01-20,wk inc flu hosp,0,2024-01-20,11,quantile,0.99,69
2024-01-20,wk inc flu hosp,1,2024-01-27,11,quantile,0.01,15
2024-01-20,wk inc flu hosp,1,2024-01-27,11,quantile,0.025,17
2024-01-20,wk inc flu hosp,1,2024-01-27,11,quantile,0.05,19
2024-01-20,wk inc flu hosp,1,2024-01-27,11,quantile,0.1,22
2024-01-20,wk inc flu hosp,1,2024-01-27,11,quantile,0.15000000000000002,24
