reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.01,263
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.025,279
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.05,294
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.1,311
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.15000000000000002,323
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.2,333
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.25,342
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.3,350
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.35000000000000003,358
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.4,365
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.45,372
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.5,380
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.55,387
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.6000000000000001,395
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.6500000000000001,403
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.7000000000000001,411
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.7500000000000001,421
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.8,431
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.8500000000000001,444
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.9000000000000001,461
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.9500000000000001,487
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.975,510
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.99,539
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.01,204
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.025,223
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.05,240
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.1,261
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.15000000000000002,276
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.2,288
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.25,299
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.3,309
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.35000000000000003,319
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.4,328
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.45,338
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.5,347
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.55,357
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.6000000000000001,367
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.6500000000000001,377
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.7000000000000001,389
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.7500000000000001,402
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.8,417
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.8500000000000001,434
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.9000000000000001,458
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.9500000000000001,494
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.975,528
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.99,570
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.01,157
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.025,176
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.05,193
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.1,215
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.15000000000000002,230
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.2,244
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.25,255
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.3,266
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.35000000000000003,277
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.4,287
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.45,297
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.5,308
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.55,318
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.6000000000000001,330
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.6500000000000001,341
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.7000000000000001,354
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.7500000000000001,369
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.8,386
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.8500000000000001,406
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.9000000000000001,433
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.9500000000000001,476
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.975,516
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.99,567
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.01,137
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.025,157
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.05,175
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.1,199
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.15000000000000002,216
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.2,230
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.25,243
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.3,255
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.35000000000000003,267
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.4,279
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.45,290
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.5,302
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.55,314
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.6000000000000001,327
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.6500000000000001,341
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.7000000000000001,356
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.7500000000000001,373
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.8,392
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.8500000000000001,416
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.9000000000000001,448
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.9500000000000001,500
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.975,549
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.99,611
2024-01-13,wk inc flu hosp,0,2024-01-13,02,quantile,0.01,0
2024-01-13,wk inc flu hosp,0,2024-01-13,02,quantile,0.025,0
2024-01-13,wk inc flu hosp,0,2024-01-13,02,quantile,0.05,0
2024-01-13,wk inc flu hosp,0,2024-01-13,02,quantile,0.1,0
2024-01-13,wk inc flu hosp,0,2024-01-13,02,quantile,0.15000000000000002,0
2024-01-13,wk inc flu hosp,0,2024-01-13,02,quantile,0.2,0
2024-01-13,wk inc flu hosp,0,2024-01-13,02,quantile,0.25,0
2024-01-13,wk inc flu hosp,0,2024-01-13,02,quantile,0.3,0
2024-01-13,wk inc flu hosp,0,2024-01-13,02,quantile,0.35000000000000003,0
2024-01-13,wk inc flu hosp,0,2024-01-13,02,quantile,0.4,0
2024-01-13,wk inc flu hosp,0,2024-01-13,02,quantile,0.45,0
2024-01-13,wk inc flu hosp,0,2024-01-13,02,quantile,0.5,0
2024-01-13,wk inc flu hosp,0,2024-01-13,02,quantile,0.55,0
2024-01-13,wk inc flu hosp,0,2024-01-13,02,quantile,0.6000000000000001,1
