reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.01,248.99
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.025,277.975
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.05,312.9
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.1,348.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.15000000000000002,369.85
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.2,387.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.25,402.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.3,423.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.35000000000000003,437.65
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.4,450.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.45,464.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.5,477.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.55,493.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.6000000000000001,503.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.6500000000000001,518.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.7000000000000001,536.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.7500000000000001,551.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.8,568.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.8500000000000001,590.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.9000000000000001,615.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.9500000000000001,654.0999999999999
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.975,705.025
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.99,754.03
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.01,317.98
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.025,368.95
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.05,401.0
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.1,438.0
