reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-02-03,wk inc flu hosp,0,2024-02-03,01,quantile,0.01,34.0
2024-02-03,wk inc flu hosp,0,2024-02-03,01,quantile,0.025,37.0
2024-02-03,wk inc flu hosp,0,2024-02-03,01,quantile,0.05,40.0
2024-02-03,wk inc flu hosp,0,2024-02-03,01,quantile,0.1,43.0
2024-02-03,wk inc flu hosp,0,2024-02-03,01,quantile,0.15000000000000002,47.0
2024-02-03,wk inc flu hosp,0,2024-02-03,01,quantile,0.2,49.0
2024-02-03,wk inc flu hosp,0,2024-02-03,01,quantile,0.25,52.0
2024-02-03,wk inc flu hosp,0,2024-02-03,01,quantile,0.3,54.0
2024-02-03,wk inc flu hosp,0,2024-02-03,01,quantile,0.35000000000000003,55.0
2024-02-03,wk inc flu hosp,0,2024-02-03,01,quantile,0.4,57.0
2024-02-03,wk inc flu hosp,0,2024-02-03,01,quantile,0.45,58.55000000000001
2024-02-03,wk inc flu hosp,0,2024-02-03,01,quantile,0.5,60.0
2024-02-03,wk inc flu hosp,0,2024-02-03,01,quantile,0.55,62.0
2024-02-03,wk inc flu hosp,0,2024-02-03,01,quantile,0.6000000000000001,63.0
2024-02-03,wk inc flu hosp,0,2024-02-03,01,quantile,0.6500000000000001,66.0
2024-02-03,wk inc flu hosp,0,2024-02-03,01,quantile,0.7000000000000001,68.0
2024-02-03,wk inc flu hosp,0,2024-02-03,01,quantile,0.7500000000000001,70.0
2024-02-03,wk inc flu hosp,0,2024-02-03,01,quantile,0.8,73.0
2024-02-03,wk inc flu hosp,0,2024-02-03,01,quantile,0.8500000000000001,75.0
2024-02-03,wk inc flu hosp,0,2024-02-03,01,quantile,0.9000000000000001,79.0
2024-02-03,wk inc flu hosp,0,2024-02-03,01,quantile,0.9500000000000001,86.0
2024-02-03,wk inc flu hosp,0,2024-02-03,01,quantile,0.975,91.02499999999998
2024-02-03,wk inc flu hosp,0,2024-02-03,01,quantile,0.99,99.0
2024-02-03,wk inc flu hosp,1,2024-02-10,01,quantile,0.01,35.0
2024-02-03,wk inc flu hosp,1,2024-02-10,01,quantile,0.025,38.0
2024-02-03,wk inc flu hosp,1,2024-02-10,01,quantile,0.05,40.0
2024-02-03,wk inc flu hosp,1,2024-02-10,01,quantile,0.1,43.0
2024-02-03,wk inc flu hosp,1,2024-02-10,01,quantile,0.15000000000000002,45.0
2024-02-03,wk inc flu hosp,1,2024-02-10,01,quantile,0.2,47.0
2024-02-03,wk inc flu hosp,1,2024-02-10,01,quantile,0.25,49.0
2024-02-03,wk inc flu hosp,1,2024-02-10,01,quantile,0.3,50.0
2024-02-03,wk inc flu hosp,1,2024-02-10,01,quantile,0.35000000000000003,52.0
2024-02-03,wk inc flu hosp,1,2024-02-10,01,quantile,0.4,53.0
2024-02-03,wk inc flu hosp,1,2024-02-10,01,quantile,0.45,54.55000000000001
2024-02-03,wk inc flu hosp,1,2024-02-10,01,quantile,0.5,56.0
2024-02-03,wk inc flu hosp,1,2024-02-10,01,quantile,0.55,57.0
2024-02-03,wk inc flu hosp,1,2024-02-10,01,quantile,0.6000000000000001,59.0
2024-02-03,wk inc flu hosp,1,2024-02-10,01,quantile,0.6500000000000001,60.0
2024-02-03,wk inc flu hosp,1,2024-02-10,01,quantile,0.7000000000000001,62.0
2024-02-03,wk inc flu hosp,1,2024-02-10,01,quantile,0.7500000000000001,63.0
2024-02-03,wk inc flu hosp,1,2024-02-10,01,quantile,0.8,65.0
2024-02-03,wk inc flu hosp,1,2024-02-10,01,quantile,0.8500000000000001,68.0
2024-02-03,wk inc flu hosp,1,2024-02-10,01,quantile,0.9000000000000001,71.0
2024-02-03,wk inc flu hosp,1,2024-02-10,01,quantile,0.9500000000000001,75.04999999999995
2024-02-03,wk inc flu hosp,1,2024-02-10,01,quantile,0.975,81.0
2024-02-03,wk inc flu hosp,1,2024-02-10,01,quantile,0.99,86.00999999999999
2024-02-03,wk inc flu hosp,2,2024-02-17,01,quantile,0.01,34.0
2024-02-03,wk inc flu hosp,2,2024-02-17,01,quantile,0.025,36.0
2024-02-03,wk inc flu hosp,2,2024-02-17,01,quantile,0.05,39.0
2024-02-03,wk inc flu hosp,2,2024-02-17,01,quantile,0.1,41.0
2024-02-03,wk inc flu hosp,2,2024-02-17,01,quantile,0.15000000000000002,43.0
2024-02-03,wk inc flu hosp,2,2024-02-17,01,quantile,0.2,45.0
2024-02-03,wk inc flu hosp,2,2024-02-17,01,quantile,0.25,46.0
2024-02-03,wk inc flu hosp,2,2024-02-17,01,quantile,0.3,47.69999999999999
2024-02-03,wk inc flu hosp,2,2024-02-17,01,quantile,0.35000000000000003,49.0
2024-02-03,wk inc flu hosp,2,2024-02-17,01,quantile,0.4,50.0
2024-02-03,wk inc flu hosp,2,2024-02-17,01,quantile,0.45,51.0
2024-02-03,wk inc flu hosp,2,2024-02-17,01,quantile,0.5,52.0
2024-02-03,wk inc flu hosp,2,2024-02-17,01,quantile,0.55,53.0
2024-02-03,wk inc flu hosp,2,2024-02-17,01,quantile,0.6000000000000001,54.0
2024-02-03,wk inc flu hosp,2,2024-02-17,01,quantile,0.6500000000000001,56.0
2024-02-03,wk inc flu hosp,2,2024-02-17,01,quantile,0.7000000000000001,57.0
2024-02-03,wk inc flu hosp,2,2024-02-17,01,quantile,0.7500000000000001,59.0
2024-02-03,wk inc flu hosp,2,2024-02-17,01,quantile,0.8,60.0
2024-02-03,wk inc flu hosp,2,2024-02-17,01,quantile,0.8500000000000001,62.0
2024-02-03,wk inc flu hosp,2,2024-02-17,01,quantile,0.9000000000000001,65.0
2024-02-03,wk inc flu hosp,2,2024-02-17,01,quantile,0.9500000000000001,68.04999999999995
2024-02-03,wk inc flu hosp,2,2024-02-17,01,quantile,0.975,73.0
2024-02-03,wk inc flu hosp,2,2024-02-17,01,quantile,0.99,76.00999999999999
2024-02-03,wk inc flu hosp,3,2024-02-24,01,quantile,0.01,33.0
2024-02-03,wk inc flu hosp,3,2024-02-24,01,quantile,0.025,35.0
2024-02-03,wk inc flu hosp,3,2024-02-24,01,quantile,0.05,37.0
2024-02-03,wk inc flu hosp,3,2024-02-24,01,quantile,0.1,39.0
2024-02-03,wk inc flu hosp,3,2024-02-24,01,quantile,0.15000000000000002,41.0
2024-02-03,wk inc flu hosp,3,2024-02-24,01,quantile,0.2,42.0
2024-02-03,wk inc flu hosp,3,2024-02-24,01,quantile,0.25,43.0
2024-02-03,wk inc flu hosp,3,2024-02-24,01,quantile,0.3,45.0
2024-02-03,wk inc flu hosp,3,2024-02-24,01,quantile,0.35000000000000003,46.0
2024-02-03,wk inc flu hosp,3,2024-02-24,01,quantile,0.4,46.0
2024-02-03,wk inc flu hosp,3,2024-02-24,01,quantile,0.45,47.0
2024-02-03,wk inc flu hosp,3,2024-02-24,01,quantile,0.5,48.0
2024-02-03,wk inc flu hosp,3,2024-02-24,01,quantile,0.55,49.0
2024-02-03,wk inc flu hosp,3,2024-02-24,01,quantile,0.6000000000000001,50.0
2024-02-03,wk inc flu hosp,3,2024-02-24,01,quantile,0.6500000000000001,51.0
2024-02-03,wk inc flu hosp,3,2024-02-24,01,quantile,0.7000000000000001,52.0
2024-02-03,wk inc flu hosp,3,2024-02-24,01,quantile,0.7500000000000001,53.250000000000114
2024-02-03,wk inc flu hosp,3,2024-02-24,01,quantile,0.8,55.0
2024-02-03,wk inc flu hosp,3,2024-02-24,01,quantile,0.8500000000000001,57.0
2024-02-03,wk inc flu hosp,3,2024-02-24,01,quantile,0.9000000000000001,59.0
2024-02-03,wk inc flu hosp,3,2024-02-24,01,quantile,0.9500000000000001,61.0
2024-02-03,wk inc flu hosp,3,2024-02-24,01,quantile,0.975,65.0
2024-02-03,wk inc flu hosp,3,2024-02-24,01,quantile,0.99,68.0
2024-02-03,wk inc flu hosp,0,2024-02-03,02,quantile,0.01,3.0
2024-02-03,wk inc flu hosp,0,2024-02-03,02,quantile,0.025,4.0
2024-02-03,wk inc flu hosp,0,2024-02-03,02,quantile,0.05,4.0
2024-02-03,wk inc flu hosp,0,2024-02-03,02,quantile,0.1,4.0
2024-02-03,wk inc flu hosp,0,2024-02-03,02,quantile,0.15000000000000002,5.0
2024-02-03,wk inc flu hosp,0,2024-02-03,02,quantile,0.2,5.0
2024-02-03,wk inc flu hosp,0,2024-02-03,02,quantile,0.25,5.0
2024-02-03,wk inc flu hosp,0,2024-02-03,02,quantile,0.3,5.0
2024-02-03,wk inc flu hosp,0,2024-02-03,02,quantile,0.35000000000000003,5.0
2024-02-03,wk inc flu hosp,0,2024-02-03,02,quantile,0.4,6.0
2024-02-03,wk inc flu hosp,0,2024-02-03,02,quantile,0.45,6.0
2024-02-03,wk inc flu hosp,0,2024-02-03,02,quantile,0.5,6.0
2024-02-03,wk inc flu hosp,0,2024-02-03,02,quantile,0.55,6.0
2024-02-03,wk inc flu hosp,0,2024-02-03,02,quantile,0.6000000000000001,6.0
2024-02-03,wk inc flu hosp,0,2024-02-03,02,quantile,0.6500000000000001,6.0
2024-02-03,wk inc flu hosp,0,2024-02-03,02,quantile,0.7000000000000001,7.0
2024-02-03,wk inc flu hosp,0,2024-02-03,02,quantile,0.7500000000000001,7.0
2024-02-03,wk inc flu hosp,0,2024-02-03,02,quantile,0.8,7.0
2024-02-03,wk inc flu hosp,0,2024-02-03,02,quantile,0.8500000000000001,7.0
2024-02-03,wk inc flu hosp,0,2024-02-03,02,quantile,0.9000000000000001,8.0
2024-02-03,wk inc flu hosp,0,2024-02-03,02,quantile,0.9500000000000001,8.0
2024-02-03,wk inc flu hosp,0,2024-02-03,02,quantile,0.975,9.0
2024-02-03,wk inc flu hosp,0,2024-02-03,02,quantile,0.99,9.0
2024-02-03,wk inc flu hosp,1,2024-02-10,02,quantile,0.01,4.0
2024-02-03,wk inc flu hosp,1,2024-02-10,02,quantile,0.025,5.0
2024-02-03,wk inc flu hosp,1,2024-02-10,02,quantile,0.05,5.0
2024-02-03,wk inc flu hosp,1,2024-02-10,02,quantile,0.1,5.0
2024-02-03,wk inc flu hosp,1,2024-02-10,02,quantile,0.15000000000000002,6.0
2024-02-03,wk inc flu hosp,1,2024-02-10,02,quantile,0.2,6.0
2024-02-03,wk inc flu hosp,1,2024-02-10,02,quantile,0.25,6.0
2024-02-03,wk inc flu hosp,1,2024-02-10,02,quantile,0.3,6.0
2024-02-03,wk inc flu hosp,1,2024-02-10,02,quantile,0.35000000000000003,6.0
2024-02-03,wk inc flu hosp,1,2024-02-10,02,quantile,0.4,7.0
