reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.01,157.96
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.025,166.975
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.05,179.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.1,193.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.15000000000000002,203.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.2,210.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.25,219.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.3,226.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.35000000000000003,233.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.4,239.60000000000002
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.45,247.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.5,252.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.55,258.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.6000000000000001,264.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.6500000000000001,269.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.7000000000000001,276.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.7500000000000001,285.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.8,294.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.8500000000000001,304.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.9000000000000001,316.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.9500000000000001,336.04999999999995
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.975,350.0
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.99,372.02
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.01,120.0
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.025,130.975
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.05,141.0
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.1,150.9
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.15000000000000002,158.0
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.2,164.0
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.25,168.0
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.3,173.0
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.35000000000000003,177.0
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.4,183.0
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.45,189.0
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.5,193.0
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.55,199.0
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.6000000000000001,203.0
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.6500000000000001,209.0
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.7000000000000001,214.0
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.7500000000000001,220.0
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.8,227.0
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.8500000000000001,235.0
