fips,Week_end,Trend_1w,Trend_2w,Trend_3w,Trend_4w
1,2023-11-04,60.0,77.0,73.0,85.0
1,2023-11-11,77.0,73.0,85.0,112.0
1,2023-11-18,73.0,85.0,112.0,152.0
1,2023-11-25,85.0,112.0,152.0,275.0
2,2023-11-04,39.0,17.0,14.0,15.0
2,2023-11-11,17.0,14.0,15.0,14.0
2,2023-11-18,14.0,15.0,14.0,4.0
2,2023-11-25,15.0,14.0,4.0,2.0
4,2023-11-04,132.0,191.0,212.0,279.0
4,2023-11-11,191.0,212.0,279.0,393.0
4,2023-11-18,212.0,279.0,393.0,582.0
4,2023-11-25,279.0,393.0,582.0,932.0
5,2023-11-04,24.0,17.0,27.0,24.0
5,2023-11-11,17.0,27.0,24.0,40.0
5,2023-11-18,27.0,24.0,40.0,53.0
5,2023-11-25,24.0,40.0,53.0,80.0
6,2023-11-04,230.0,360.0,434.0,631.0
6,2023-11-11,360.0,434.0,631.0,804.0
6,2023-11-18,434.0,631.0,804.0,987.0
6,2023-11-25,631.0,804.0,987.0,1633.0
8,2023-11-04,52.0,102.0,137.0,126.0
8,2023-11-11,102.0,137.0,126.0,153.0
8,2023-11-18,137.0,126.0,153.0,220.0
8,2023-11-25,126.0,153.0,220.0,240.0
9,2023-11-04,5.0,22.0,33.0,57.0
9,2023-11-11,22.0,33.0,57.0,74.0
9,2023-11-18,33.0,57.0,74.0,120.0
9,2023-11-25,57.0,74.0,120.0,115.0
10,2023-11-04,1.0,2.0,1.0,2.0
10,2023-11-11,2.0,1.0,2.0,10.0
10,2023-11-18,1.0,2.0,10.0,18.0
10,2023-11-25,2.0,10.0,18.0,24.0
12,2023-11-04,462.0,652.0,701.0,748.0
12,2023-11-11,652.0,701.0,748.0,758.0
12,2023-11-18,701.0,748.0,758.0,819.0
12,2023-11-25,748.0,758.0,819.0,951.0
13,2023-11-04,114.0,132.0,155.0,225.0
13,2023-11-11,132.0,155.0,225.0,242.0
13,2023-11-18,155.0,225.0,242.0,441.0
13,2023-11-25,225.0,242.0,441.0,602.0
15,2023-11-04,16.0,29.0,26.0,23.0
15,2023-11-11,29.0,26.0,23.0,33.0
15,2023-11-18,26.0,23.0,33.0,27.0
15,2023-11-25,23.0,33.0,27.0,27.0
16,2023-11-04,4.0,11.0,8.0,19.0
16,2023-11-11,11.0,8.0,19.0,46.0
16,2023-11-18,8.0,19.0,46.0,67.0
16,2023-11-25,19.0,46.0,67.0,124.0
17,2023-11-04,54.0,72.0,102.0,165.0
17,2023-11-11,72.0,102.0,165.0,204.0
17,2023-11-18,102.0,165.0,204.0,251.0
17,2023-11-25,165.0,204.0,251.0,439.0
18,2023-11-04,58.0,95.0,100.0,149.0
18,2023-11-11,95.0,100.0,149.0,181.0
18,2023-11-18,100.0,149.0,181.0,260.0
18,2023-11-25,149.0,181.0,260.0,375.0
19,2023-11-04,13.0,14.0,27.0,44.0
19,2023-11-11,14.0,27.0,44.0,44.0
19,2023-11-18,27.0,44.0,44.0,50.0
19,2023-11-25,44.0,44.0,50.0,82.0
20,2023-11-04,10.0,18.0,25.0,37.0
20,2023-11-11,18.0,25.0,37.0,37.0
20,2023-11-18,25.0,37.0,37.0,43.0
